queue_length,farmers_ahead,active_counters,total_counters,average_processing_time,quantity,crop_type,centre_capacity,historical_load,time_of_day,day_of_week,wait_time
48,36,3,5,7.801407783414526,655,Rice,107,72,9.904658278891533,0,108.94610424024066
29,18,4,6,10.375851212057764,687,Sugarcane,125,72,17.506427804372567,1,52.257450506487736
53,32,4,2,6.725293532303631,752,Maize,149,45,16.26626785212212,5,68.05111902405172
31,15,3,5,11.249831497214972,793,Wheat,67,80,11.59389260547034,5,70.24743456278841
46,22,1,4,8.358643306638282,218,Cotton,91,54,12.214717260948545,0,198.17754959020326
32,6,2,3,7.723395309935018,139,Wheat,51,22,8.038379935229761,2,31.676662348505936
20,25,3,6,10.29628673756221,359,Cotton,82,88,10.514322443129657,5,88.99589090858072
19,31,5,5,4.8115479763342766,855,Sugarcane,108,83,10.892964559519516,3,36.697020841723116
51,11,2,5,10.190019769685398,740,Maize,149,30,12.527386989599284,5,70.57138458222501
55,7,5,6,5.943616001382614,105,Cotton,122,25,9.390498139951667,5,17.02711285839288
48,4,3,4,6.2465003774659005,410,Sugarcane,134,21,12.787668881222494,5,23.745538390331745
59,27,1,6,8.79563018656064,165,Cotton,71,96,14.684684854192522,5,263.71636356629136
56,4,5,4,11.215475400369641,473,Rice,66,84,11.712822981433185,3,32.43844004355263
7,25,3,6,8.627255598166919,830,Wheat,180,59,10.32195275565526,2,70.61885375453842
41,4,2,5,9.191594790355897,245,Maize,81,34,13.477164869538948,5,27.124140792129634
55,21,1,2,10.212756716842193,333,Sugarcane,82,49,8.29003902960277,0,236.35090293478996
11,14,5,2,6.074598071939894,128,Maize,59,25,11.40837450776448,6,12.032032681328126
25,12,3,5,10.61786938243314,920,Wheat,54,40,13.27590242908014,3,51.38192885436441
13,27,1,2,7.343681192537198,772,Cotton,117,76,11.358428161985223,1,204.77604451902664
43,32,1,4,5.4052455479293,742,Cotton,151,74,11.454314260975277,2,194.86817185715154
22,22,4,5,6.8009446356889995,759,Maize,122,82,16.482966626372033,3,44.01022374725931
8,32,1,4,5.969048893745803,999,Cotton,192,28,17.339917871951645,5,194.2960458691249
29,17,3,5,5.829708841085167,693,Cotton,101,71,16.273926473486586,3,39.09451593638334
18,29,2,4,6.260505589753329,569,Cotton,57,56,8.988674500784892,6,101.27757440489624
54,25,4,4,5.447446517936716,460,Rice,147,89,10.897424443809964,5,52.52779101261069
13,15,3,2,9.341614056661143,953,Sugarcane,79,93,15.112943666916648,4,55.67581011555205
30,12,3,5,8.639934056280937,694,Sugarcane,123,28,17.74392795002658,5,36.207305448298584
57,38,3,6,9.187535143867429,684,Wheat,127,35,10.422815484700806,6,130.33154061340664
6,32,5,2,6.7497977906252835,454,Cotton,173,51,16.982104790893004,0,39.955390050895
24,25,5,4,10.157867220592355,825,Maize,190,22,15.390149871630681,2,46.249688635861226
32,0,2,4,5.036869927633318,125,Cotton,108,33,17.834503663795324,3,11.015304538746136
51,37,3,6,8.569093675690882,389,Wheat,111,40,8.93585481741734,2,121.7807876247692
11,1,5,6,6.203623777971791,170,Cotton,78,91,11.947457481930373,1,1.0
48,5,5,4,8.220879205580891,961,Rice,142,66,12.781150023345004,4,19.126201262832215
12,37,5,6,6.589097401921913,788,Wheat,111,40,14.720826252445782,5,48.98285264510562
51,23,2,3,10.324094120730361,188,Sugarcane,184,61,14.53972036275129,6,141.31514779309393
39,17,2,2,11.130174710704758,276,Sugarcane,183,36,17.063453447142308,0,108.37499548090368
18,26,3,5,9.94064978697305,126,Rice,111,59,16.386731225883317,5,88.43916165527327
21,7,4,6,5.404669702793974,388,Sugarcane,117,77,8.553726689161797,6,12.701282134503657
40,27,3,6,6.1989351871068985,939,Rice,66,23,12.865401230098872,0,64.91992178111686
54,9,5,3,11.354864524147327,916,Sugarcane,189,61,12.070612302190995,1,34.87218458569145
44,16,5,5,7.49776102126561,674,Sugarcane,106,76,17.97144586525375,3,34.785665386238
8,28,1,3,11.529443274794135,630,Cotton,137,55,12.272581942444912,4,327.3385606269203
6,5,3,5,7.139613510898134,583,Wheat,111,71,14.826191400026863,0,17.20948979370496
10,13,5,2,11.61419728472531,533,Sugarcane,147,41,10.844294331338906,5,30.477136740289648
58,21,5,6,11.405911901866649,592,Wheat,127,87,14.14628955917377,2,63.07067608235412
46,5,4,2,9.28421511989293,377,Wheat,76,29,10.066330886184334,1,20.307677919159286
8,25,1,5,4.070616387692023,445,Sugarcane,182,43,14.03606655649612,5,108.45593262776708
58,38,3,6,7.202677455807495,678,Wheat,89,54,16.68190238587981,0,106.88363164598883
33,11,2,3,11.289881037564767,337,Rice,186,97,8.192377914458872,5,80.41183993524173
22,34,3,4,11.080882312864919,236,Maize,193,39,13.04586409539346,3,128.7350049482388
30,13,3,3,5.499102400768909,262,Rice,62,71,17.82370624356398,4,36.91812135139154
48,21,4,4,7.193459967752821,938,Sugarcane,192,33,9.5926252244832,6,45.41919826408012
38,22,3,3,10.684079423035772,946,Rice,193,58,9.834123280488884,0,96.57920300868415
14,6,4,5,8.623022826000435,999,Maize,93,92,12.70823721101543,3,18.171302371577553
40,39,4,2,10.778393867569605,392,Rice,165,53,16.709931803269093,3,116.32197093551646
18,24,5,4,10.612539075588504,127,Wheat,167,86,13.627596094371142,1,58.82489818457889
35,12,2,5,11.259856055619863,355,Sugarcane,144,95,13.08708644570584,5,83.33863866910995
52,20,4,2,4.937764705556654,902,Wheat,96,31,8.867570591046212,3,36.430809963493246
19,9,1,2,5.161721131628125,723,Wheat,133,61,17.61986014574681,1,56.637142286928146
12,8,1,6,4.66247223175242,851,Sugarcane,89,50,11.471159314796992,2,50.37119962549851
18,14,2,6,11.482150728763454,854,Sugarcane,120,90,10.518071521475626,5,95.91851017555031
27,1,4,6,7.801299075023145,764,Cotton,155,28,12.117439447430517,1,2.866623262148405
44,24,2,4,4.514602267859585,364,Maize,144,70,12.141821617058199,0,67.38195796820524
25,12,5,4,6.57223922011233,663,Wheat,72,56,12.585331087280595,1,20.60564177173805
20,33,1,2,6.811301129039735,580,Wheat,96,41,14.885382018791653,4,233.36709468040846
49,33,3,4,10.476478587814057,500,Sugarcane,93,28,16.679465686144653,2,131.68307881023506
22,34,1,2,9.883815137367383,559,Sugarcane,131,99,8.573128801268561,1,351.8945032447336
51,37,4,5,9.515096396500553,876,Rice,61,83,12.907685646667053,2,103.76641478089385
57,2,2,3,4.17490842073103,665,Wheat,143,82,12.13978124826072,5,22.751267658336516
28,5,1,2,11.28556637141103,232,Wheat,128,92,8.108801128188233,1,70.67865480661517
30,18,3,2,5.7244421353259325,290,Sugarcane,190,31,16.164894509025018,3,38.46038906218542
29,2,3,5,9.032491237541421,223,Wheat,130,46,9.043132011207234,3,12.306215513206537
49,17,2,6,4.494552344091353,530,Maize,169,66,9.14748009507005,5,54.489442638601666
45,38,2,6,4.652208734976436,317,Cotton,150,92,8.482984180517033,0,106.03223467975087
33,8,1,6,4.076618369040977,976,Sugarcane,162,47,10.00421633814484,3,45.35754853867461
19,11,4,2,8.527421156362646,502,Sugarcane,76,54,9.768162815544983,4,28.327345719751847
49,4,5,2,9.035037356935238,421,Wheat,197,57,11.47865836088495,3,20.64881420682466
5,2,3,4,4.40369842586583,400,Cotton,67,60,14.592703942510298,4,6.843236352557397
29,10,2,4,6.323879078112311,170,Cotton,113,86,8.54294227628479,1,40.69882851291173
11,29,5,3,10.811635313424134,313,Sugarcane,58,75,16.602757601747864,5,59.87060158611923
13,3,5,3,4.810466934583313,973,Sugarcane,167,28,11.265786153565559,1,1.0
28,4,5,4,5.73237731642665,644,Sugarcane,172,22,14.06607331071925,4,1.8784632385999522
5,0,4,2,7.3951296677794165,473,Maize,74,70,8.120051122107544,0,1.839990177953337
48,26,2,5,10.738192821064928,435,Wheat,162,96,11.65807915068367,6,159.54478671451932
12,27,3,4,6.038792435801634,270,Maize,178,68,8.020509119053683,3,59.146871244108084
28,28,2,2,11.977096122906737,443,Sugarcane,108,99,9.654582735772166,4,185.87318776245442
15,17,1,4,6.842094505108227,555,Cotton,67,54,12.478504304713184,3,123.2148520475074
55,11,3,6,7.091589267868985,961,Wheat,96,35,13.350874219497499,6,36.671310422809725
21,12,2,4,4.976849633846355,509,Wheat,128,59,9.529285997213456,2,37.49341788045805
12,1,3,6,9.441583206852247,400,Sugarcane,71,88,15.452162776156523,0,3.210575762841332
39,36,1,2,5.947721462275853,595,Sugarcane,137,27,9.890036655206046,1,226.07803619284846
39,15,3,6,9.03094076236037,390,Sugarcane,114,73,9.158450921570573,4,50.74786529054469
37,23,5,4,5.785261827223413,848,Sugarcane,188,52,11.334245127611744,2,33.03933852732631
9,34,4,6,7.102978137811744,948,Sugarcane,156,70,13.514286636609533,5,65.45419120688318
46,21,1,5,10.85337673563534,536,Sugarcane,139,21,17.88901816419748,4,243.46669096217403
43,35,3,6,9.91124729179256,201,Wheat,87,57,12.187157296351502,5,129.20030151791454
45,10,1,6,5.2367271995497875,109,Maize,175,75,12.259964172421107,6,72.91936733498969
32,28,5,3,8.861665338992811,140,Cotton,98,39,8.593334701165217,4,50.943414360565065
11,34,4,5,9.029125213390476,469,Sugarcane,154,71,15.658196731593033,5,73.01029472598636
13,14,1,2,4.724547788014888,225,Cotton,194,28,9.817830018610433,6,67.19206369695405
12,30,5,6,7.726445234687486,884,Wheat,106,84,15.448035645453782,4,50.2063666421772
16,15,5,5,6.085347165340863,482,Cotton,63,85,17.106168777299416,4,24.522656456439783
38,9,5,2,7.737041142107864,426,Wheat,132,38,15.682207620913612,1,23.122625361494748
37,31,3,5,10.216567930583,549,Rice,57,35,14.42453420412215,1,110.3017393563753
52,1,2,3,5.2660764784825576,622,Maize,72,88,14.039162954886297,1,26.666024964559245
59,23,1,2,4.98643364470435,930,Rice,93,39,12.536328924145405,0,130.47350005660752
27,22,2,2,6.1545319608461835,806,Wheat,115,71,9.44542695116377,5,80.18157532235382
28,1,5,6,11.618203602772667,631,Rice,52,33,15.788386091217523,1,5.768833421708847
41,37,2,4,9.982593689479732,372,Wheat,190,96,12.773222703925939,3,200.56122950942182
39,30,5,2,4.155646902516373,601,Rice,118,54,14.256458231356444,1,34.46297711364376
48,39,5,2,7.208038739867013,846,Wheat,131,76,11.740152289134425,4,61.66289911135509
44,25,4,3,6.059183832643082,586,Maize,50,53,10.007227196804344,4,45.391043963930514
26,28,4,3,9.10515654697739,326,Maize,70,78,16.065084637882627,3,68.99877716725202
31,2,2,3,7.674339628273545,326,Maize,132,99,11.4239980557379,2,24.857667629752715
39,13,1,6,11.715988198911527,965,Wheat,105,47,16.666800289714118,4,168.59466905411313
5,24,2,2,5.7518276078739055,440,Cotton,151,62,17.657249025226818,4,73.38328943375575
39,0,1,3,8.702851327991524,371,Rice,179,54,16.299885272070362,1,15.727473310787182
41,2,2,3,9.601680119921781,890,Rice,80,34,9.281380452908508,1,25.135370443021223
51,25,3,5,10.604515914763052,494,Rice,190,22,16.550109273574435,4,98.77135753348304
18,17,3,5,7.255768243424057,223,Rice,63,46,13.193578254132323,3,43.78602455110762
7,8,1,3,9.495375261259852,294,Maize,125,23,10.414116008976464,4,77.9050919157707
5,37,4,6,6.425611771074262,682,Cotton,62,41,8.931560336261457,1,54.07228995795532
9,22,1,4,7.483808738894562,843,Rice,137,88,10.785098391299147,5,176.00837017797997
30,20,2,5,11.165017049627194,272,Cotton,144,42,9.374270821762149,1,117.15689730891258
59,0,5,5,11.599260874647634,302,Wheat,191,32,8.256445822014328,6,10.366793767958171
18,20,3,2,9.750538775418118,132,Wheat,163,79,17.87764349114108,1,75.03378036371787
43,26,5,2,6.99481512620948,310,Rice,143,46,16.315422484030265,6,43.103611908049295
31,5,3,3,10.560462319797313,912,Sugarcane,149,69,15.389492630968597,3,24.660945466288737
13,35,2,2,4.2069366538033615,793,Maize,119,98,9.930137711932788,4,84.33110307065601
19,27,3,2,4.8219672843153685,852,Rice,175,31,8.277364389508488,1,48.37735640634636
19,16,1,4,9.290989891002889,150,Maize,167,29,12.85203882574691,2,156.6688698565378
30,39,5,6,6.329988602160459,982,Rice,176,68,15.416944299363228,5,56.719318376209564
46,2,5,3,11.611089747203822,991,Maize,119,54,17.628373633597626,1,11.7323241635559
17,11,2,4,7.488484896738438,954,Sugarcane,192,57,16.438836886031545,0,54.56169005899873
55,38,5,3,7.434918563113416,506,Sugarcane,105,73,16.935023559945577,6,73.40328009343563
36,11,2,6,9.42463608152745,640,Wheat,137,39,10.38662747741028,2,60.51603372993577
43,1,4,3,10.140548498449517,617,Rice,62,31,9.553260176233687,1,11.204851731269661
53,21,1,2,7.804469905001092,232,Sugarcane,184,22,10.477817700933718,0,180.6577316694468
56,22,3,6,5.712007213693793,195,Sugarcane,158,21,9.385794732583609,3,55.27335813078299
36,29,3,4,10.186469141804974,523,Rice,198,41,15.984838237117923,0,108.67414411772778
8,4,3,4,6.562810198989021,957,Rice,151,54,17.030430609658254,4,10.550678799099137
34,8,4,5,5.400886154350861,181,Wheat,151,28,11.073420262617205,5,17.584606968372494
41,20,1,4,9.053121519400106,888,Sugarcane,191,36,16.769261829390842,4,197.58668904245263
27,10,5,5,4.723629335922803,414,Maize,52,33,8.550351801589134,3,12.053131658520542
43,4,5,2,11.77082140068844,828,Rice,112,51,14.773565396271767,3,15.562143928817251
49,34,1,4,9.059178115297096,379,Rice,158,78,13.27493209895792,3,332.03256104550917
19,26,1,6,11.887164167374046,742,Rice,61,77,10.767432956197823,0,320.3162508039969
47,1,3,5,6.711147387829088,185,Rice,104,55,15.682010953414373,0,16.453252127139756
33,23,5,4,11.769641289523182,939,Sugarcane,167,52,10.120472814467284,6,57.9955460505038
40,30,1,2,5.164497981828989,465,Maize,197,93,12.161494874275562,3,178.1250276790755
17,32,5,6,4.325558178776228,924,Wheat,173,83,15.098593360728831,0,29.350933776599593
36,38,1,6,4.2638724836368205,465,Cotton,140,32,11.38228981141862,4,173.70214863395015
11,29,2,2,7.718962964793817,192,Sugarcane,118,53,16.553601855897256,1,124.06750261030379
55,36,3,4,4.664033579828758,170,Sugarcane,104,24,16.654270106396396,2,63.47160740636691
26,27,1,3,8.097343073340813,425,Cotton,124,89,10.025304197280192,3,230.76252536936343
32,30,4,4,6.620004028071204,606,Cotton,109,52,12.403899886650795,4,59.71047608688801
6,10,1,5,6.685031939792925,425,Rice,91,24,12.320126432897782,0,69.40300228677832
46,22,2,5,9.08487197236136,943,Maize,183,91,12.100451353007957,2,120.5694205760293
49,1,4,4,5.304784049212961,290,Sugarcane,118,37,13.019721381862785,6,7.775570028542862
57,39,4,5,10.132426962717847,313,Sugarcane,71,37,8.743663140853691,3,111.02499003002903
10,26,1,3,8.656247358229077,146,Wheat,114,45,16.700499953341904,0,230.20442766979096
32,34,2,3,11.319557030780087,829,Cotton,133,39,10.899147783531113,6,201.9749719070213
32,1,4,6,6.918725230140187,188,Cotton,137,23,8.018123934538119,0,5.888355014187819
48,38,3,5,11.861719936537003,886,Sugarcane,197,41,14.851039326690106,2,156.39062248058417
48,36,3,4,8.606621173712185,326,Cotton,96,92,14.504720837608739,0,120.4657031724268
24,20,5,6,11.78721564950027,496,Rice,73,28,17.83162213267626,2,51.636550725278255
34,4,5,3,4.216485232376923,316,Wheat,121,78,15.192472144074454,4,10.550835387351839
15,20,2,6,9.823810579299103,851,Sugarcane,147,52,11.327061081562782,6,101.16889858298148
59,28,4,2,10.532972194341891,400,Wheat,88,26,17.526175517984086,6,84.24593001825009
32,19,3,5,4.425386293411901,515,Rice,104,52,11.65345799262368,3,40.404180656841476
29,37,3,4,8.631757312129967,952,Wheat,165,85,16.212446859075975,0,110.08883211067325
43,19,2,3,10.415538348715586,993,Cotton,126,91,11.356740692451858,1,118.86111262287078
37,24,4,6,8.488309801784581,269,Sugarcane,157,78,8.487083134901996,2,62.95699738057837
5,1,2,4,4.510508723243733,464,Wheat,196,54,15.337848609943546,4,2.7412411613941696
31,31,1,5,9.547577927186492,331,Maize,107,51,11.502109307518655,5,317.4300458471446
56,25,3,4,4.484775317386469,719,Sugarcane,150,20,11.388876990352857,1,53.02113479660576
17,5,2,5,10.539751160131509,427,Wheat,140,71,15.158516268665002,3,35.10483414127274
45,2,2,5,4.344273466453555,332,Sugarcane,137,54,11.220378610700598,4,22.76138486408859
7,32,1,5,5.099179048082966,781,Wheat,191,59,9.180127042130245,2,170.99176285483452
43,0,5,6,6.200860724186148,746,Wheat,180,63,12.045102519056055,4,10.355790086241827
10,4,3,5,9.0669183380864,742,Cotton,176,58,16.238440395488333,6,15.488239724082366
12,12,2,4,11.810872797050447,136,Wheat,191,39,9.302044880064603,5,72.78904116903072
31,18,3,2,4.942582820959475,870,Maize,57,22,13.54480775763837,6,38.301395224745555
13,11,5,4,5.141661353711347,501,Cotton,64,72,9.322592939437138,4,12.0915738093318
41,24,2,6,6.9509631736078425,735,Maize,52,31,8.491828484394818,4,98.2958108164439
37,34,1,5,10.689753102042562,525,Maize,158,27,11.787097745652927,3,378.6662953780707
55,11,3,2,7.737847622006513,507,Rice,188,83,14.57883316330265,1,50.06240706860053
46,29,1,6,6.572884802046573,874,Maize,58,60,10.749873331962748,4,207.16337353742605
48,4,5,3,8.48963065767089,964,Wheat,53,30,12.457311477374176,6,11.644419500085323
28,33,5,3,6.084185579566,316,Sugarcane,162,45,12.913309247431226,0,42.945793630167586
19,21,3,3,7.209279257980167,269,Cotton,129,57,16.41290281341896,4,55.877726250713316
58,38,5,2,6.660841193856335,709,Cotton,183,24,16.189792084053515,4,59.269273371476295
36,12,4,4,10.433128179317167,457,Cotton,54,51,8.023472098509224,3,42.26750846135597
36,2,3,2,11.394045811504007,285,Sugarcane,98,88,12.139189942191694,3,23.955074156147937
28,19,4,2,10.076577537255295,824,Maize,132,34,14.560910319600197,6,53.952532992464214
45,30,5,2,7.512668608239868,969,Rice,118,80,16.52396170561594,3,60.886992482043574
56,4,3,3,8.03467981997331,923,Wheat,169,71,8.488977833177929,6,29.327124753264535
53,23,4,4,5.0005895514354854,843,Cotton,61,47,14.282483184109164,5,38.13229812525232
53,39,5,2,9.974917689076303,778,Wheat,103,38,16.420194975661154,6,91.69650559668632
56,32,2,4,8.771805435160353,917,Maize,153,73,10.550760205833743,3,161.8982222471414
16,7,2,5,11.21951996909949,260,Rice,129,34,10.052563313666568,4,46.836182418615834
43,23,1,2,5.604889148601226,383,Cotton,122,32,12.678493876066028,4,144.4053720940466
6,19,2,2,10.077808975460897,283,Maize,50,42,17.62579581773543,2,96.0043379593085
7,15,4,2,9.477373293753518,636,Rice,186,99,14.928863945079552,3,35.984887881686625
53,11,2,5,6.126764270478017,241,Cotton,67,81,12.244850464717135,2,56.605927899088655
41,12,3,5,9.3390291163266,794,Maize,151,44,8.208627999441672,1,46.88969772674196
53,38,3,3,11.394987044613195,695,Wheat,134,51,13.56725863437884,6,162.50248276189058
21,24,3,6,11.347487901336951,330,Sugarcane,164,40,11.487880017969157,3,89.09948534832473
53,31,2,4,9.75701259612913,567,Cotton,112,20,9.857136421530365,5,167.14467589658074
6,23,2,6,4.384584900272481,487,Rice,52,47,13.001481022022286,5,54.67844231096944
6,8,1,2,10.978114698561292,834,Rice,161,31,11.413826339672049,6,95.57786865625353
32,39,5,2,9.26222885603632,257,Sugarcane,195,98,8.387246827919288,1,80.4540798508123
58,22,1,3,6.4834740254618755,417,Sugarcane,69,39,15.255060202316683,5,161.86265025637474
27,12,4,6,5.4980028936455945,284,Maize,142,70,15.325829199625044,0,28.376540632140948
41,31,3,2,4.929630903978537,520,Sugarcane,85,45,14.188314497587253,4,65.92917785557486
36,14,2,6,4.401895194062088,282,Cotton,53,62,16.408206534962314,4,42.21343438092086
37,35,5,3,10.032825983606052,696,Sugarcane,169,69,10.031815437810062,2,75.18864979125269
5,4,5,6,5.8867439915462025,676,Cotton,158,93,10.862015516141305,4,5.910160877150491
23,21,2,4,4.1940234883460406,151,Wheat,127,47,12.586557828766654,1,54.72486691267827
6,15,1,3,7.178165214735914,102,Sugarcane,66,45,8.601751839871797,4,114.07976767682122
57,9,5,6,7.860856644738711,176,Wheat,98,96,16.83545779908167,3,30.53573953249302
48,23,1,2,5.353841847201015,746,Rice,158,44,12.90628607906515,0,146.5428685448439
30,17,2,5,4.352386689300398,937,Sugarcane,165,50,11.246632422774503,2,46.14403661834747
36,17,1,5,5.513003864784551,681,Rice,59,98,12.779634473630292,6,113.61236203065396
10,6,3,3,9.432822094692595,773,Wheat,169,37,11.251298217362386,2,16.134137478012082
36,3,2,5,4.657949418009651,707,Rice,172,59,10.862634204326847,2,17.729741966271014
59,25,2,4,8.44029624445595,115,Wheat,125,86,12.480184392570346,3,127.91530908335422
8,4,5,3,5.171295903265333,329,Maize,172,82,12.819046723850681,4,6.399548481912818
59,15,5,2,5.565513388643355,988,Wheat,186,30,12.333453933722776,3,20.946994048585474
15,34,5,2,7.144623066133589,366,Maize,139,46,13.479309532061977,1,45.37324778897687
21,25,3,3,4.806602688429851,405,Rice,198,56,15.833790022848518,5,39.4578665374633
42,17,3,5,5.385628022257703,954,Wheat,50,31,8.572681916646813,4,35.302117827633005
28,28,4,5,6.791619291610833,105,Maize,55,47,16.11518686612491,3,57.29879243430959
9,22,2,2,6.637352043986935,209,Wheat,160,25,10.285343923561813,1,72.25494722501692
56,13,5,4,9.994171885405855,242,Cotton,195,89,10.520929165570676,1,48.45940812319755
38,14,2,5,4.598258441011395,766,Cotton,150,63,13.994664890668176,3,42.13663116033389
10,32,1,4,10.883605885330748,306,Rice,188,66,17.75671302775833,3,358.3563274550147
26,24,3,5,10.529857365915639,528,Cotton,118,55,8.173993335524987,0,92.30842718903372
15,20,4,3,10.127933117535507,265,Sugarcane,198,63,14.731335896142852,3,53.60290133202865
52,16,1,6,6.47497889970506,359,Maize,156,88,14.968972059160002,2,121.84266898462386
20,22,2,2,10.5830542843263,784,Sugarcane,155,42,13.73651796007669,4,121.46195513590696
37,16,3,3,5.462416642314246,493,Cotton,58,42,8.096901143962203,6,38.45839090058174
13,13,5,5,4.995273646840226,220,Rice,51,54,14.06351796786607,1,11.316433320776662
10,28,1,2,4.359650667915899,512,Sugarcane,162,88,9.150213090526433,6,133.2106235236133
20,19,3,6,11.514482904044607,239,Rice,181,80,8.780676892574,2,79.50957250462575
33,29,2,6,6.464087181642189,267,Wheat,139,57,14.960615849049478,5,103.92329202272994
7,18,2,5,11.340943041423248,183,Sugarcane,61,71,15.002345556182021,2,107.26524822476728
24,38,1,2,6.180908492154638,520,Wheat,132,21,16.899118681936706,1,245.0254444654614
40,12,1,5,11.260527674690795,805,Sugarcane,132,38,8.033804689093163,5,155.08886307008723
23,17,1,6,11.231432422768705,887,Maize,142,82,11.787598541202083,4,201.910606145745
30,22,4,3,11.389408360085703,367,Rice,88,86,8.122719989552888,0,65.53625186177511
7,32,5,3,7.96922751427355,137,Wheat,108,42,11.646625461942445,0,49.78847169462796
23,38,3,4,10.927570294391135,402,Cotton,177,45,12.916579383346226,5,147.76762495298775
24,39,2,6,11.606127169338562,437,Sugarcane,121,49,13.297291615500274,2,230.7415868095842
36,17,2,6,6.596935535177436,853,Wheat,183,38,11.559327135665942,2,70.57623248692907
11,8,5,5,7.350995245460441,429,Sugarcane,77,58,15.25301368106488,3,12.73645150770421
56,32,1,4,9.753921498685951,298,Sugarcane,124,47,12.155949227512181,0,328.10097137242803
45,31,1,4,6.402878573786407,909,Sugarcane,90,92,13.171265423132404,0,211.23461232557847
37,16,2,2,10.030474471301272,104,Wheat,121,80,16.000876009861674,4,93.30245294573751
44,18,5,5,4.5911371617082715,531,Wheat,137,67,9.743027663344005,3,29.715894521434688
43,26,2,3,8.187987074308339,470,Sugarcane,102,98,11.208952325618197,1,123.54161595380572
22,5,1,2,4.978507872669962,994,Cotton,172,32,13.214296006680303,1,32.96209765713913
44,34,3,4,6.346587811493412,966,Rice,60,30,15.67618224964933,4,77.06680090250242
5,36,1,3,6.069003139891776,202,Sugarcane,136,59,12.253554274890066,1,226.40942936573828
15,33,3,6,10.711456588501328,534,Cotton,199,70,8.727667722700348,0,122.28453771351857
32,19,4,5,5.54813804324958,749,Rice,54,89,17.88830531872069,2,39.77058282499809
29,24,5,4,10.46758336127295,904,Sugarcane,161,99,15.079107226828931,3,55.44512352730844
54,3,4,6,10.351682767263377,480,Rice,111,49,15.22735135947622,1,15.666915579387863
27,9,1,4,7.991064444457839,165,Sugarcane,96,49,12.65104911521469,1,85.60684473997618
35,9,5,3,5.870746044769037,678,Wheat,86,97,13.47040056942646,1,23.089615180623383
34,23,1,2,5.815170719649782,369,Sugarcane,160,73,17.940484437835114,1,147.3743851465228
46,20,5,3,7.719397176926782,146,Sugarcane,75,26,13.951157036774507,2,44.585112009977905
39,10,5,5,4.0704720591481305,464,Sugarcane,92,86,10.18929466084955,2,19.12938159484916
11,26,1,5,8.250806036890928,980,Sugarcane,110,29,17.643797397192536,5,218.4174981920674
20,15,1,4,11.622236206136442,279,Cotton,177,80,13.377626824461089,6,187.70851515158233
